Sample	Total	AS_neg	AS_pos	AS_total	SI	Histology
BS_0S8E7590	3992	21	85	106	0.0265531062124248	Diffuse midline glioma
BS_0VXZCRJS	2975	9	12	21	0.00705882352941176	Diffuse midline glioma
BS_0ZA67BBC	3413	1	20	21	0.00615294462349839	Diffuse midline glioma
BS_1D93Z575	3572	83	29	112	0.0313549832026876	Diffuse midline glioma
BS_25KYGJ71	1457	60	12	72	0.0494166094715168	Diffuse midline glioma
BS_2853394H	3157	23	162	185	0.0585999366487171	Diffuse midline glioma
BS_297H8BT4	927	20	12	32	0.0345199568500539	Diffuse midline glioma
BS_2A5R9MEJ	4179	2	17	19	0.00454654223498445	Diffuse midline glioma
BS_2ARXK0TD	3785	8	307	315	0.083223249669749	Diffuse midline glioma
BS_2HNXVFAS	4405	14	909	923	0.209534619750284	Diffuse midline glioma
BS_2JP7RBMB	3781	3	36	39	0.0103147315524993	Diffuse midline glioma
BS_2K01T8K6	3308	9	58	67	0.0202539298669891	Diffuse midline glioma
BS_30F3Z9FS	4327	2	797	799	0.184654495031199	Diffuse midline glioma
BS_30VC3R2Q	3687	9	5	14	0.0037971250339029	Diffuse midline glioma
BS_30YWQ3FY	2912	26	622	648	0.222527472527473	Diffuse midline glioma
BS_333KCNDP	3538	6	482	488	0.137931034482759	Diffuse midline glioma
BS_399RPKC9	4040	6	20	26	0.00643564356435644	Diffuse midline glioma
BS_3ZPJAK9A	3037	33	268	301	0.099110964767863	Diffuse midline glioma
BS_49CJNZ06	3759	44	16	60	0.0159616919393456	Diffuse midline glioma
BS_4B0BAVTX	3910	32	3	35	0.00895140664961637	Diffuse midline glioma
BS_4C6B11E4	3031	8	180	188	0.0620257340811613	Diffuse midline glioma
BS_4KNBXM3C	3431	20	128	148	0.0431361119207228	Diffuse midline glioma
BS_4QW2S1Q8	4026	14	13	27	0.00670640834575261	Diffuse midline glioma
BS_51RA1PGE	3897	15	13	28	0.00718501411342058	Diffuse midline glioma
BS_5965SFPZ	3035	34	3	37	0.0121911037891269	Diffuse midline glioma
BS_5VPM0F36	3317	9	4	13	0.00391920410009044	Diffuse midline glioma
BS_6H4Q24WA	3786	4	14	18	0.00475435816164818	Diffuse midline glioma
BS_6M2053M0	1832	1	1	2	0.00109170305676856	Diffuse midline glioma
BS_6WP1FHTE	3167	15	6	21	0.00663088095989896	Diffuse midline glioma
BS_75YRDXET	3755	11	121	132	0.0351531291611185	Diffuse midline glioma
BS_7PVJ6Q3D	1826	55	7	62	0.0339539978094195	Diffuse midline glioma
BS_7WM3MNZ0	3025	9	21	30	0.00991735537190083	Diffuse midline glioma
BS_862NMAR7	4927	9	66	75	0.015222244773696	Diffuse midline glioma
BS_8VD670NP	2768	111	19	130	0.0469653179190751	Diffuse intrinsic pontine glioma
BS_8YWYN7VH	739	69	21	90	0.121786197564276	Diffuse midline glioma
BS_8ZY4GST0	2996	1	17	18	0.00600801068090788	Diffuse midline glioma
BS_9A1YTHFF	3990	3	298	301	0.0754385964912281	Diffuse midline glioma
BS_9GJ3DB1H	4207	5	1309	1314	0.312336581887331	Diffuse midline glioma
BS_9ZJT0CP0	4056	20	314	334	0.0823471400394477	Diffuse midline glioma
BS_AZQM1JJH	3932	3	965	968	0.24618514750763	Diffuse midline glioma
BS_B1C6GZ84	3272	13	5	18	0.00550122249388753	Diffuse midline glioma
BS_B1HF89ES	3438	30	19	49	0.0142524723676556	Diffuse midline glioma
BS_B3MQFFYP	1134	49	7	56	0.0493827160493827	Diffuse midline glioma
