method	algorithm	distance	feature_selection	k	stretch	delta_auc	p_val	cox_anova_pval	cox_anova_chisq	cluster.size	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	clus.avg.silwidths	avg_sil	dunn	dunn2	entropy	wb.ratio	cluster_size_min	cluster_size_max	all_equal	cluster_qual	rank
hc_pearson_3	hc	pearson	dip_test	3	51	0.31	1.26e-29	NA	NA	1434, 2, 1	0	1.11, 0.71, NA	0.7, 0.71, NaN	0.71, 0.71, NA	0.89	0.7	359.89	0.19, 0.19, 0	0.13	0.54	1.24	0.02	0.79	NA	NA	0e+00	62.37	1
km_euclidean_2	km	euclidean	dip_test	2	51	0.51	1.98e-02	NA	NA	717, 720	0	1.03, 1.06	0.65, 0.69	0.65, 0.69	0.74	0.67	328.84	0.12, 0.06	0.09	0.26	1.07	0.69	0.91	NA	NA	9.37e-01	62.14	2
pam_canberra_14	pam	canberra	dip_test	14	44	0.01	5.81e-01	NA	NA	114, 78, 204, 198, 67, 72, 112, 95, 160, 71, 67, 147, 25, 27	0	0.93, 0.87, 0.87, 0.86, 1.01, 0.85, 0.86, 0.94, 0.9, 0.93, 0.86, 0.86, 0.86, 0.83	0.64, 0.57, 0.54, 0.61, 0.71, 0.59, 0.56, 0.6, 0.59, 0.63, 0.6, 0.58, 0.55, 0.6	0.63, 0.57, 0.54, 0.61, 0.7, 0.59, 0.56, 0.59, 0.59, 0.63, 0.6, 0.58, 0.55, 0.61	0.71	0.59	257.13	-0.01, 0.17, 0.09, 0.01, -0.03, 0.08, 0.06, 0.09, 0.02, 0, 0.06, 0.02, 0.17, 0.04	0.05	0.28	0.85	2.5	0.83	NA	NA	8.91e-79	61.59	3
pam_pearson_10	pam	pearson	dip_test	10	43	0.02	2.81e-01	NA	NA	205, 84, 198, 102, 133, 88, 109, 167, 183, 168	0	0.94, 0.87, 0.93, 0.97, 0.95, 0.88, 0.99, 0.96, 0.86, 0.95	0.62, 0.58, 0.55, 0.63, 0.61, 0.59, 0.63, 0.63, 0.58, 0.64	0.61, 0.59, 0.55, 0.63, 0.61, 0.59, 0.62, 0.62, 0.58, 0.64	0.71	0.6	267.65	0, 0.16, 0.09, 0.02, 0.02, 0.12, 0.01, 0.02, 0.07, 0	0.05	0.27	0.97	2.26	0.85	NA	NA	2.9e-24	61.34	4
km_euclidean_14	km	euclidean	dip_test	14	47	0.01	5.81e-01	NA	NA	67, 257, 132, 79, 104, 57, 43, 65, 108, 80, 33, 76, 225, 111	0	0.88, 1.06, 0.7, 0.87, 0.82, 0.81, 0.7, 0.84, 0.79, 0.8, 0.93, 0.78, 0.86, 0.92	0.65, 0.72, 0.5, 0.57, 0.57, 0.59, 0.51, 0.58, 0.53, 0.56, 0.66, 0.59, 0.57, 0.6	0.65, 0.72, 0.5, 0.58, 0.57, 0.59, 0.51, 0.58, 0.53, 0.56, 0.66, 0.59, 0.57, 0.6	0.71	0.6	260.3	-0.02, -0.08, 0.06, 0.14, 0.02, 0.04, 0.03, 0.07, 0.06, 0.13, -0.07, 0.03, 0.07, 0.02	0.04	0.25	0.74	2.48	0.84	NA	NA	1.35e-105	61.33	5
km_euclidean_17	km	euclidean	dip_test	17	46	0.01	1e+00	NA	NA	72, 107, 108, 58, 98, 51, 72, 6, 103, 75, 191, 28, 80, 138, 62, 97, 91	0	0.88, 1.01, 0.68, 0.78, 0.82, 0.77, 0.73, 0.63, 0.79, 0.8, 0.95, 0.93, 0.78, 0.79, 0.8, 0.85, 0.83	0.65, 0.72, 0.49, 0.53, 0.57, 0.57, 0.51, 0.52, 0.53, 0.55, 0.65, 0.66, 0.58, 0.52, 0.57, 0.6, 0.59	0.65, 0.72, 0.49, 0.53, 0.57, 0.58, 0.5, 0.52, 0.53, 0.55, 0.65, 0.67, 0.58, 0.53, 0.57, 0.61, 0.6	0.71	0.58	247.86	-0.03, -0.09, 0.06, 0.2, 0.03, 0.06, 0.04, 0.21, 0.06, 0.13, -0.03, -0.09, 0.01, 0.11, 0.08, 0.01, 0.03	0.05	0.26	0.73	2.71	0.82	NA	NA	4.89e-61	61.13	6
pam_canberra_10	pam	canberra	dip_test	10	40	0.02	1.11e-01	NA	NA	102, 91, 229, 210, 117, 265, 81, 33, 154, 155	0	0.94, 0.96, 0.95, 0.9, 0.86, 1.05, 0.85, 1.01, 0.9, 0.87	0.61, 0.6, 0.56, 0.63, 0.57, 0.64, 0.6, 0.71, 0.61, 0.59	0.61, 0.6, 0.56, 0.63, 0.57, 0.64, 0.6, 0.71, 0.61, 0.59	0.72	0.61	268.69	0.08, 0.14, 0.07, 0, 0.06, -0.01, 0.07, -0.02, 0.04, 0.06	0.05	0.25	0.87	2.18	0.85	NA	NA	1.38e-66	60.48	7
pam_pearson_2	pam	pearson	dip_test	2	43	0.5	1.98e-02	NA	NA	643, 794	0	1.06, 1.02	0.66, 0.66	0.66, 0.66	0.74	0.66	320.66	0.11, 0.11	0.11	0.13	1.12	0.69	0.89	NA	NA	6.8e-05	60.41	8
pam_canberra_8	pam	canberra	dip_test	8	40	0.03	4.45e-04	NA	NA	113, 95, 276, 224, 141, 261, 157, 170	0	0.96, 1.03, 0.95, 0.93, 0.94, 1.03, 0.9, 0.96	0.62, 0.61, 0.58, 0.63, 0.61, 0.64, 0.61, 0.6	0.61, 0.61, 0.58, 0.63, 0.61, 0.64, 0.61, 0.6	0.72	0.61	276.09	0.1, 0.13, 0.06, 0.01, 0.04, 0, 0.05, 0.05	0.05	0.24	1	2.02	0.86	NA	NA	1.51e-34	60.37	9
hc_canberra_3	hc	canberra	dip_test	3	49	0.77	2.27e-06	NA	NA	1426, 10, 1	0	1.11, 0.91, NA	0.7, 0.72, NaN	0.7, 0.72, NA	0.83	0.7	358.77	0.14, 0.12, 0	0.09	0.4	1.14	0.05	0.84	NA	NA	0e+00	60.23	10
