Vessel Name: 2024.05.30_Cirtuvivint-6D
Metric: KNS-42 Confluence (%)
Cell Type: KNS-42, SMS-KAN
Passage: 1
Notes: Entered by user kconkrite on 6/3/2024 12:28:06 PM:
Cells plated 5/30. 12k/well for 3 day assay, 6k/well for 6 day. Allow to settle 30 minutes before placing in Incucyte. Wait 30 minutes in Incucyte before initiating scan.

5/31- 2 pm. Remove plates from Incucyte, remove 95 uL media from each well. Replace with 100 uL either fresh media, media + DMSO, or Media + Cirtuvivint in serial dilutions. Replace back into Incucyte and continue scanning.
Analysis: KNS-42_20x_klc

Date Time	Elapsed	KNS-42 (2) 6K / well Fresh DMEM 100% (B2)	KNS-42 (2) 6K / well Fresh DMEM 100% (B11)	KNS-42 (2) 6K / well Fresh DMEM 100% (C2)	KNS-42 (2) 6K / well Fresh DMEM 100% (C11)	KNS-42 (2) 6K / well Fresh DMEM 100% (D2)	KNS-42 (2) 6K / well Fresh DMEM 100% (D11)	KNS-42 (2) 6K / well DMSO vehicle 2% (B3)	KNS-42 (2) 6K / well DMSO vehicle 2% (C3)	KNS-42 (2) 6K / well DMSO vehicle 2% (D3)	KNS-42 (2) 6K / well Cirtuvivint 10 µM (B4)	KNS-42 (2) 6K / well Cirtuvivint 10 µM (C4)	KNS-42 (2) 6K / well Cirtuvivint 10 µM (D4)	KNS-42 (2) 6K / well Cirtuvivint 5 µM (B5)	KNS-42 (2) 6K / well Cirtuvivint 5 µM (C5)	KNS-42 (2) 6K / well Cirtuvivint 5 µM (D5)	KNS-42 (2) 6K / well Cirtuvivint 1 µM (B6)	KNS-42 (2) 6K / well Cirtuvivint 1 µM (C6)	KNS-42 (2) 6K / well Cirtuvivint 1 µM (D6)	KNS-42 (2) 6K / well Cirtuvivint 0.5 µM (B7)	KNS-42 (2) 6K / well Cirtuvivint 0.5 µM (C7)	KNS-42 (2) 6K / well Cirtuvivint 0.5 µM (D7)	KNS-42 (2) 6K / well Cirtuvivint 0.1 µM (B8)	KNS-42 (2) 6K / well Cirtuvivint 0.1 µM (C8)	KNS-42 (2) 6K / well Cirtuvivint 0.1 µM (D8)	KNS-42 (2) 6K / well Cirtuvivint 0.05 µM (B9)	KNS-42 (2) 6K / well Cirtuvivint 0.05 µM (C9)	KNS-42 (2) 6K / well Cirtuvivint 0.05 µM (D9)	KNS-42 (2) 6K / well Cirtuvivint 0.01 µM (B10)	KNS-42 (2) 6K / well Cirtuvivint 0.01 µM (C10)	KNS-42 (2) 6K / well Cirtuvivint 0.01 µM (D10)
5/30/2024 3:23:00 PM	0	14.09989	10.54409	14.22348	11.6215	15.76445	13.10053	14.26946	12.38218	18.92588	15.53648	13.87023	14.50467	12.78243	14.44208	14.74384	11.9116	11.98952	13.84989	12.86838	11.76616	12.80232	12.79368	11.15712	13.07703	15.23871	14.79371	12.36823	12.48841	11.95598	12.86128
5/30/2024 5:23:00 PM	2	17.25579	14.56063	17.7578	16.45222	18.8433	17.70747	18.72705	16.02218	22.01453	16.43053	17.33863	19.45118	17.18205	17.7061	18.64857	17.05715	16.41694	18.75024	14.89826	15.41719	17.33641	18.71893	15.45144	17.11055	20.09846	18.22286	16.38446	16.72544	16.19764	17.61162
5/30/2024 7:23:00 PM	4	18.11841	15.50872	19.78642	17.77241	19.97791	18.64193	19.22032	16.47292	22.31623	20.12881	19.24366	20.84247	18.19911	18.33699	19.50532	18.04688	17.63312	19.73722	15.77814	16.1493	17.95489	17.62936	16.04303	17.67153	18.37926	18.93218	17.5899	17.78993	17.02611	18.25946
5/30/2024 9:23:00 PM	6	18.69866	16.48279	19.616	19.31543	21.3383	19.3981	19.82857	17.76528	21.54077	18.91724	19.20818	21.98401	18.23976	19.5752	20.23022	19.34975	18.93597	21.32551	17.00921	18.0485	18.90736	18.56266	17.34291	19.30731	19.75323	20.35868	18.36854	18.68485	18.12973	19.34913
5/30/2024 11:23:00 PM	8	18.25661	18.42599	21.672	21.82002	23.52366	21.42856	22.3713	19.82191	24.04491	22.63832	21.16002	25.11587	21.19414	21.22185	22.28039	21.88789	21.13003	24.04572	18.87248	19.55665	21.34755	20.27709	19.17093	20.72607	21.81012	21.87022	19.42064	20.74027	20.16277	21.51065
5/31/2024 1:23:00 AM	10	23.57229	20.99848	24.42523	25.0014	26.16936	24.1717	24.27888	22.19279	26.87085	24.99824	23.64821	26.14558	24.0158	24.12603	25.13984	25.02369	23.82292	27.57915	20.83511	22.4258	24.12966	23.11336	21.95854	22.4944	24.54641	24.03698	21.6074	23.23817	22.6247	23.98591
5/31/2024 3:23:00 AM	12	25.22526	23.28702	26.70912	28.01836	28.77641	26.55915	26.46416	24.15983	29.6175	26.60356	26.54111	29.0157	25.99015	26.83703	28.07955	28.00742	26.48074	31.34081	23.50547	27.03321	26.59376	25.51367	24.81665	24.74223	27.86141	26.78149	24.36033	25.46805	25.6245	26.72146
5/31/2024 5:23:00 AM	14	28.13567	25.37585	28.39791	31.74504	30.96698	28.11752	29.10386	26.06566	31.64646	29.15034	28.81568	31.47462	28.91313	29.51684	30.81835	30.6368	28.55342	33.94944	25.46942	29.44631	28.65625	26.53009	26.58399	26.66745	29.65463	29.54218	26.68788	28.43502	27.85016	29.36564
5/31/2024 7:23:00 AM	16	29.7618	27.35599	30.01202	32.78645	32.70287	30.76974	31.2425	27.47197	34.00122	30.55457	30.31789	33.63399	30.49287	30.53649	33.05609	32.77658	30.60197	36.28245	27.20148	31.2471	30.3397	27.96629	28.77957	28.79336	31.71371	29.68076	28.1196	29.01895	29.748	30.70355
5/31/2024 9:23:00 AM	18	30.48466	28.91636	31.20909	34.45649	34.11978	31.92325	32.10106	28.77747	35.18109	31.90675	31.93721	35.19311	32.00037	32.20756	35.22338	34.86452	32.33793	37.95707	28.18863	32.58777	31.27091	29.47895	30.19663	29.7035	32.46532	31.31833	29.57634	30.06737	31.30437	32.31549
